VFB_ID	external_IDs	cell_types
VFB_0010023b	['4665627']	['neuron', 'larval mushroom body feedforward neuron 9']
VFB_0010023k	['5738449']	['neuron', 'larval mushroom body feed across neuron 6']
VFB_0010023l	['5870071']	['larval mushroom body one-step feedback neuron 27', 'neuron']
VFB_0010023m	['5934511']	['larval mushroom body one-step feedback neuron 19', 'neuron']
VFB_0010023n	['6290724']	['neuron', 'larval mushroom body one-step feedback neuron 10']
VFB_00100250	['5836181']	['neuron', 'Kenyon cell']
VFB_0010023g	['5560620']	['larval mushroom body feedforward neuron 17', 'neuron']
VFB_0010023h	['5592307']	['neuron', 'larval mushroom body feedforward neuron 37']
VFB_0010023i	['5679304']	['larval mushroom body feedforward neuron 34', 'neuron']
VFB_0010023j	['5681132']	['larval mushroom body one-step feedback neuron 25', 'neuron']
VFB_0010023s	['7058243']	['larval mushroom body feedforward neuron 26', 'neuron']
VFB_00100255	['4598109']	['mushroom body extrinsic neuron', 'neuron']
VFB_0010023t	['7313896']	['larval mushroom body feedforward neuron 19', 'neuron']
VFB_00100256	['6611894']	['neuron', 'larval mushroom body dopaminergic neuron i1']
VFB_0010023u	['7421507']	['neuron', 'larval mushroom body feedforward neuron 13']
VFB_00100257	['6699205']	['neuron', 'larval mushroom body output neuron d2']
VFB_0010023v	['7540581']	['neuron', 'larval mushroom body one-step feedback neuron 13']
VFB_00100258	['6703240']	['neuron', 'mushroom body extrinsic neuron']
VFB_0010023o	['6300434']	['neuron', 'larval mushroom body feedforward neuron 7']
VFB_00100251	['5836206']	['neuron', 'Kenyon cell']
VFB_0010023p	['6591182']	['embryonic/larval neuron', 'neuron']
VFB_00100252	['7891312']	['Kenyon cell', 'neuron']
VFB_0010023q	['6597872']	['neuron', 'embryonic/larval neuron']
VFB_00100253	['5937084']	['Kenyon cell', 'neuron']
VFB_0010023r	['7026287']	['larval mushroom body one-step feedback neuron 23', 'neuron']
VFB_00100254	['5966099']	['neuron', 'larval mushroom body dopaminergic neuron d1']
VFB_0010023w	['7574701']	['larval mushroom body one-step feedback neuron 25', 'neuron']
VFB_00100259	['6704232']	['neuron', 'Kenyon cell']
VFB_0010023x	['7594047']	['larval mushroom body one-step feedback neuron 5', 'neuron']
VFB_0010023y	['7980369']	['neuron', 'larval mushroom body one-step feedback neuron 23']
VFB_0010023z	['8007556']	['larval mushroom body feedforward neuron 25', 'neuron']
VFB_0010020a	['19375193']	['neuron', 'embryonic/larval neuron']
VFB_0010020b	['19376548']	['neuron', 'embryonic/larval neuron']
VFB_0010020c	['19376559']	['neuron', 'embryonic/larval neuron']
VFB_0010020h	['19389324']	['neuron', 'embryonic/larval neuron']
VFB_0010020i	['19389329']	['embryonic/larval neuron', 'neuron']
VFB_0010020j	['19389333']	['embryonic/larval neuron', 'neuron']
VFB_0010020k	['19389343']	['neuron', 'embryonic/larval neuron']
VFB_0010020d	['19376564']	['neuron', 'embryonic/larval neuron']
VFB_0010020e	['19376569']	['embryonic/larval neuron', 'neuron']
VFB_0010020f	['19376581']	['embryonic/larval neuron', 'neuron']
VFB_0010020g	['19376664']	['neuron', 'embryonic/larval neuron']
VFB_0010020p	['19393740']	['neuron', 'embryonic/larval neuron']
VFB_00100222	['4235139']	['larval mushroom body input neuron e1', 'neuron']
