Individual_id	Individual_label	External_id	FBbt_ids	FBbt_labels
VFB_jrchk7ae	TRN_VP1m_R (FlyEM-HB:2009274786)	2009274786	['FBbt_00047226', 'FBbt_00049660']	['adult hygrosensory neuron Ir40a VP1d', 'adult hygrosensory neuron Ir68a VP1m']
VFB_jrchk7yl	WEDPN3_R (FlyEM-HB:5813020138)	5813020138	['FBbt_00049456', 'FBbt_00050017']	['adult wedge projection neuron 3', 'adult BAlp3 lineage neuron']
VFB_jrchk2dm	ORN_VA7m (FlyEM-HB:1982716575)	1982716575	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk2dz	ORN_VA7m (FlyEM-HB:2138197298)	2138197298	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk7yg	WEDPN2A_R (FlyEM-HB:885788485)	885788485	['FBbt_00049455', 'FBbt_00050017']	['adult wedge projection neuron 2', 'adult BAlp3 lineage neuron']
VFB_jrchk2dw	ORN_VA7m (FlyEM-HB:2107162809)	2107162809	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk7ze	WEDPN8B_R (FlyEM-HB:1067215615)	1067215615	['FBbt_00049664', 'FBbt_00050242']	['adult wedge projection neuron 8', 'adult DALd lineage neuron']
VFB_jrchk7zi	WEDPN8C_R (FlyEM-HB:5813055629)	5813055629	['FBbt_00049664', 'FBbt_00050242']	['adult wedge projection neuron 8', 'adult DALd lineage neuron']
VFB_jrchk2e5	ORN_VA7m (FlyEM-HB:2138197479)	2138197479	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk2ds	ORN_VA7m (FlyEM-HB:2107508333)	2107508333	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
