source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
19375183	VFB_001001zy	DPMpm2 ppFB 3 - Right (L1EM:19375183)	['DPMpm2 lineage neuron']						
10792617	VFB_00102ewk	DPMpm1  2_left (L1EM:10792617)	['DPMpm1 lineage neuron']						
7371869	VFB_001001ey	BAmd1 d s 2 Right (L1EM:7371869)	['BAmd1 lineage neuron']						
12345792	VFB_001001if	CM4 s ppFB 3 Right (L1EM:12345792)	['CM4 lineage neuron']						
17733148	VFB_001001z1	TR BAlv s 5 Left (L1EM:17733148)	['BAlv lineage neuron']						
11838242	VFB_00102ez3	BAlc_post I2 right (L1EM:11838242)	['BAlc lineage neuron']						
14266512	VFB_001001m6	DPMpl3 s 2 Left (L1EM:14266512)	['DPMpl3 lineage neuron']						
14546704	VFB_001001ne	DPMpm2 s NB 2 Right (L1EM:14546704)	['DPMpm2 lineage neuron']						
12345237	VFB_001001ie	DPMpm2 s 1 Right (L1EM:12345237)	['DPMpm2 lineage neuron']						
9950404	VFB_001001g3	DPMm1 Left (L1EM:9950404)	['DPMm1 lineage neuron']						
19389343	VFB_0010020k	DPLd s 1 Left (L1EM:19389343)	['DPLd lineage neuron']						
19376548	VFB_0010020b	DPMpm1 ppFB 2 - Left (L1EM:19376548)	['DPMpm1 lineage neuron']						
6700147	VFB_00102eoo	BAmd2 descending 2 right; BAmd2 ven desc lat 4  ipsi VMC neuron 6700148 (L1EM:6700147)	['BAmd2 lineage neuron']						
13364562	VFB_001001kl	DPMpm1 s 3 Right (L1EM:13364562)	['DPMpm1 lineage neuron']						
15048530	VFB_00102f48	BLAl F neuron 1 right (L1EM:15048530)	['BLAl1 lineage neuron']						
15608355	VFB_00102f5l	BAlc post lat lat 6 AL left (L1EM:15608355)	['BAlc lineage neuron']						
14547219	VFB_001001oh	DPLc5 s 2 Right (L1EM:14547219)	['DPLc5 lineage neuron']						
10766722	VFB_00102ewg	DPMpm2 small arc left (L1EM:10766722)	['DPMpm2 lineage neuron']						
12283795	VFB_001001ia	CM4 s ppFB 6 Right (L1EM:12283795)	['CM4 lineage neuron']						
