skid	name	paper_id	paper_name	synonyms	FBbt_ID
17058350	CN-8	21308444	Eschbach, Fushiki et al. 2020b	Bridge V_right|MB2ON-99	
17083341	MB2ON-73	21308444	Eschbach, Fushiki et al. 2020b	CM13 med right	
17125520	CN-54	21308444	Eschbach, Fushiki et al. 2020b	LH bilateral axon 5_right|MB2ON-107|LH-12|LHN-18	
17140424	MB2ON-4	21308444	Eschbach, Fushiki et al. 2020b	BH ; Descending 2; CP1 v 2_left	
17165286	MB2ON-156	21308444	Eschbach, Fushiki et al. 2020b	DPLm ant lat 1_left|MB2IN-136	
17176911	CN-42	21308444	Eschbach, Fushiki et al. 2020b	CH ; BAmd1 lineage_left|MB2IN-119|MB2ON-66	
17176927	CN-30	21308444	Eschbach, Fushiki et al. 2020b	KU: DALcm12 L m ant lat 6_right|MB2IN-25|MB2ON-77|FB-22	
17177419	MB2ON-68	21308444	Eschbach, Fushiki et al. 2020b	EV_left	
17237305	CN-18	21308444	Eschbach, Fushiki et al. 2020b	IT_left|MB2ON-50	
17276867	CN-41	21308444	Eschbach, Fushiki et al. 2020b	H ; DALcm r v ant med_left|MB2IN-111|MB2ON-14	
17315288	MB2ON-69	21308444	Eschbach, Fushiki et al. 2020b	CP23 v 11_left|MB2IN-120	
17330632	MB2ON-248	21308444	Eschbach, Fushiki et al. 2020b	To Complete with soma right	
17340931	MB2ON-94	21308444	Eschbach, Fushiki et al. 2020b	CG_right 	
17357979	MB2ON-134	21308444	Eschbach, Fushiki et al. 2020b	BQ_right	
17373283	MB2ON-75	21308444	Eschbach, Fushiki et al. 2020b	DPMpm1 3_left	
17379420	CN-28	21308444	Eschbach, Fushiki et al. 2020b	OL: CM4 ven ant 2 DNs_right|MB2ON-56	
17438424	CN-9	21308444	Eschbach, Fushiki et al. 2020b	SLP1_right; CM13 lat 9|MB2ON-244	
17591442	CN-5	21308444	Eschbach, Fushiki et al. 2020b	RQ1: 3rd - thermo orders _right|MB2ON-127	
17639784	CN-9	21308444	Eschbach, Fushiki et al. 2020b	SLP1_left; CM13 lat 9?|MB2ON-244	
17671219	CN-49	21308444	Eschbach, Fushiki et al. 2020b	PVM_42a_LH_right|MB2ON-121|LH-20|LHN-13	
17813006	MB2ON-53	21308444	Eschbach, Fushiki et al. 2020b	AD ; DALcm12 m ant lat 7_right	
17813457	MB2ON-73	21308444	Eschbach, Fushiki et al. 2020b	neuron 17813458 left	
17822238	CN-2	21308444	Eschbach, Fushiki et al. 2020b	AG:DL-LH_cand7_right; BLVa12 a 2|MB2ON-110	
17867309	MB2ON-58	21308444	Eschbach, Fushiki et al. 2020b	CZ_right|MB2IN-117	
18062678	CN-20	21308444	Eschbach, Fushiki et al. 2020b	F ; Convergence Sibling-2_left; DALcm12 m ant lat 11_left|MB2ON-20|MB2IN-201	
18500988	MB2ON-79	21308444	Eschbach, Fushiki et al. 2020b	BQ 1 ; DPMl12 ant 1_left|MB2IN-124	
18648531	MB2ON-231	21308444	Eschbach, Fushiki et al. 2020b	Bonsai left	
19156025	MB2ON-233	21308444	Eschbach, Fushiki et al. 2020b	Brain looper right	
19175973	MB2ON-1	21308444	Eschbach, Fushiki et al. 2020b	AC ; DALcm12 m ant med 1_left	
19786464	MB2ON-232	21308444	Eschbach, Fushiki et al. 2020b	BP 1 ; Right	
